dates,tension,temperature_stream
23-07-2015 15:30,1.13336,17.344
23-07-2015 15:45,1.23682,17.319
23-07-2015 16:00,1.23663,17.32
23-07-2015 16:15,1.20249,17.315
23-07-2015 18:00,1.23293,17.359
23-07-2015 18:15,1.22953,17.356
23-07-2015 18:30,1.23083,17.361
23-07-2015 18:45,1.23129,17.361
23-07-2015 19:00,1.23331,17.358
23-07-2015 19:15,1.23453,17.348
23-07-2015 19:30,1.23075,17.342
23-07-2015 19:45,1.22637,17.338
23-07-2015 20:00,1.23373,17.322
23-07-2015 20:15,1.24201,17.308
23-07-2015 20:30,1.22953,17.29
23-07-2015 20:45,1.22202,17.272
23-07-2015 21:00,1.23224,17.255
23-07-2015 21:15,1.23442,17.237
23-07-2015 21:30,1.23381,17.22
23-07-2015 21:45,1.23465,17.2
23-07-2015 22:00,1.23457,17.182
23-07-2015 22:15,1.23465,17.162
23-07-2015 22:30,1.23453,17.143
23-07-2015 22:45,1.23327,17.124
23-07-2015 23:00,1.23171,17.108
23-07-2015 23:15,1.2332,17.089
23-07-2015 23:30,1.23201,17.073
23-07-2015 23:45,1.22614,17.056
24-07-2015 00:00,1.22309,17.04
24-07-2015 00:15,1.23178,17.022
24-07-2015 00:30,1.23522,17.006
24-07-2015 00:45,1.22892,16.99
24-07-2015 01:00,1.20317,16.971
24-07-2015 01:15,1.23453,16.952
24-07-2015 01:30,1.23445,16.931
24-07-2015 01:45,1.22908,16.909
24-07-2015 02:00,1.23037,16.889
24-07-2015 02:15,1.23247,16.868
24-07-2015 02:30,1.22869,16.846
24-07-2015 02:45,1.23621,16.825
24-07-2015 03:00,1.23331,16.802
24-07-2015 03:15,1.23346,16.779
24-07-2015 03:30,1.23396,16.756
24-07-2015 03:45,1.22717,16.734
24-07-2015 04:00,1.23301,16.712
24-07-2015 04:15,1.22793,16.689
24-07-2015 04:30,1.2134,16.669
24-07-2015 04:45,1.21935,16.646
24-07-2015 05:00,1.20554,16.626
24-07-2015 05:15,1.24304,16.604
24-07-2015 05:30,1.2258,16.584
24-07-2015 05:45,1.23873,16.566
24-07-2015 06:00,1.22343,16.548
24-07-2015 06:15,1.21477,16.531
24-07-2015 06:30,1.23068,16.518
24-07-2015 06:45,1.22908,16.504
24-07-2015 07:00,1.22168,16.495
24-07-2015 07:15,1.21328,16.487
24-07-2015 07:30,1.24369,16.48
24-07-2015 07:45,1.23167,16.478
24-07-2015 08:00,1.23785,16.476
24-07-2015 08:15,1.21042,16.477
24-07-2015 08:30,1.23987,16.508
24-07-2015 08:45,1.25307,16.495
24-07-2015 09:00,1.24868,16.497
24-07-2015 09:15,1.24762,16.522
24-07-2015 09:30,1.21778,16.538
24-07-2015 09:45,1.25799,16.573
24-07-2015 10:00,1.26204,16.564
24-07-2015 10:15,1.2406,16.609
24-07-2015 10:30,1.27176,16.617
24-07-2015 10:45,1.25807,16.633
24-07-2015 11:00,1.25422,16.66
24-07-2015 11:15,1.27237,16.687
24-07-2015 11:30,1.25372,16.771
24-07-2015 11:45,1.28099,16.75
24-07-2015 12:00,1.28546,16.768
24-07-2015 12:15,1.28733,16.828
24-07-2015 12:30,1.29286,16.885
24-07-2015 12:45,1.30346,16.887
24-07-2015 13:00,1.3109,16.9
24-07-2015 13:15,1.30175,16.912
24-07-2015 13:30,1.30568,16.931
24-07-2015 13:45,1.30522,16.939
24-07-2015 14:00,1.29301,16.983
24-07-2015 14:15,1.31384,16.986
24-07-2015 14:30,1.30404,17.001
24-07-2015 14:45,1.2908,17.006
24-07-2015 15:00,1.32807,17.016
24-07-2015 15:15,1.31678,17.028
24-07-2015 15:30,1.32033,17.052
24-07-2015 15:45,1.32509,17.059
24-07-2015 16:00,1.32937,17.075
24-07-2015 16:15,1.31525,17.077
24-07-2015 16:30,1.30373,17.085
24-07-2015 16:45,1.31476,17.077
24-07-2015 17:00,1.32895,17.077
24-07-2015 17:15,1.33623,17.081
24-07-2015 17:30,1.3315,17.088
24-07-2015 17:45,1.34051,17.091
24-07-2015 18:00,1.32181,17.099
24-07-2015 18:15,1.33406,17.108
24-07-2015 18:30,1.32876,17.122
24-07-2015 18:45,1.33356,17.142
24-07-2015 19:00,1.3341,17.152
24-07-2015 19:15,1.31411,17.148
24-07-2015 19:30,1.33963,17.148
24-07-2015 19:45,1.33749,17.145
24-07-2015 20:00,1.32387,17.141
