dates,Temp_profondeur_10,Temp_profondeur_20,Temp_profondeur_30,Temp_profondeur_40
2015-07-23 14:00:00,18.319,17.938,18.247,18.39
2015-07-23 14:15:00,18.224,17.653,17.915,17.986
2015-07-23 14:30:00,18.105,17.558,17.796,17.796
2015-07-23 14:45:00,18.081,17.534,17.748,17.748
2015-07-23 15:00:00,18.057,17.51,17.724,17.724
2015-07-23 15:15:00,18.057,17.51,17.701,17.701
2015-07-23 15:30:00,18.057,17.51,17.701,17.677
2015-07-23 15:45:00,18.057,17.486,17.677,17.677
2015-07-23 16:00:00,18.057,17.486,17.677,17.653
2015-07-23 16:15:00,18.057,17.486,17.677,17.653
2015-07-23 16:30:00,18.033,17.486,17.677,17.629
2015-07-23 16:45:00,18.057,17.486,17.653,17.629
2015-07-23 17:00:00,18.057,17.486,17.653,17.629
2015-07-23 17:15:00,18.057,17.486,17.653,17.629
2015-07-23 17:30:00,18.057,17.486,17.653,17.629
2015-07-23 17:45:00,18.057,17.486,17.653,17.629
2015-07-23 18:00:00,18.057,17.486,17.653,17.605
2015-07-23 18:15:00,18.057,17.486,17.653,17.605
2015-07-23 18:30:00,18.057,17.51,17.653,17.605
2015-07-23 18:45:00,18.081,17.486,17.629,17.605
2015-07-23 19:00:00,18.081,17.486,17.629,17.605
2015-07-23 19:15:00,18.057,17.51,17.629,17.605
2015-07-23 19:30:00,18.081,17.486,17.629,17.582
2015-07-23 19:45:00,18.057,17.486,17.629,17.605
2015-07-23 20:00:00,18.057,17.51,17.629,17.605
2015-07-23 20:15:00,18.057,17.486,17.629,17.582
2015-07-23 20:30:00,18.057,17.486,17.629,17.582
2015-07-23 20:45:00,18.057,17.51,17.629,17.582
2015-07-23 21:00:00,18.033,17.486,17.629,17.582
2015-07-23 21:15:00,18.033,17.486,17.629,17.582
2015-07-23 21:30:00,18.01,17.486,17.629,17.582
2015-07-23 21:45:00,18.01,17.486,17.629,17.582
2015-07-23 22:00:00,17.986,17.486,17.629,17.582
2015-07-23 22:15:00,17.986,17.486,17.629,17.582
2015-07-23 22:30:00,17.962,17.463,17.629,17.582
2015-07-23 22:45:00,17.962,17.463,17.605,17.582
2015-07-23 23:00:00,17.915,17.463,17.605,17.582
2015-07-23 23:15:00,17.915,17.463,17.605,17.582
2015-07-23 23:30:00,17.891,17.439,17.605,17.582
2015-07-23 23:45:00,17.867,17.439,17.605,17.582
2015-07-24 00:00:00,17.843,17.439,17.605,17.558
2015-07-24 00:15:00,17.843,17.415,17.582,17.558
2015-07-24 00:30:00,17.819,17.415,17.582,17.558
2015-07-24 00:45:00,17.796,17.391,17.582,17.558
2015-07-24 01:00:00,17.772,17.391,17.582,17.558
2015-07-24 01:15:00,17.748,17.368,17.582,17.558
2015-07-24 01:30:00,17.724,17.368,17.582,17.558
2015-07-24 01:45:00,17.724,17.344,17.582,17.558
2015-07-24 02:00:00,17.677,17.344,17.558,17.558
2015-07-24 02:15:00,17.653,17.32,17.558,17.558
2015-07-24 02:30:00,17.629,17.32,17.558,17.534
2015-07-24 02:45:00,17.605,17.296,17.534,17.534
2015-07-24 03:00:00,17.582,17.296,17.534,17.534
2015-07-24 03:15:00,17.558,17.272,17.534,17.534
2015-07-24 03:30:00,17.534,17.249,17.51,17.534
2015-07-24 03:45:00,17.51,17.249,17.51,17.534
2015-07-24 04:00:00,17.486,17.225,17.51,17.51
2015-07-24 04:15:00,17.463,17.201,17.486,17.51
2015-07-24 04:30:00,17.439,17.177,17.486,17.51
2015-07-24 04:45:00,17.391,17.177,17.486,17.51
2015-07-24 05:00:00,17.368,17.153,17.463,17.51
2015-07-24 05:15:00,17.344,17.13,17.463,17.486
2015-07-24 05:30:00,17.32,17.13,17.439,17.486
2015-07-24 05:45:00,17.272,17.106,17.439,17.486
2015-07-24 06:00:00,17.249,17.082,17.415,17.486
2015-07-24 06:15:00,17.225,17.058,17.415,17.486
2015-07-24 06:30:00,17.201,17.034,17.415,17.486
2015-07-24 06:45:00,17.153,17.034,17.391,17.463
2015-07-24 07:00:00,17.13,17.011,17.391,17.463
2015-07-24 07:15:00,17.106,16.987,17.368,17.463
2015-07-24 07:30:00,17.106,16.963,17.368,17.439
2015-07-24 07:45:00,17.058,16.939,17.344,17.439
2015-07-24 08:00:00,17.034,16.915,17.32,17.439
2015-07-24 08:15:00,17.011,16.915,17.32,17.415
2015-07-24 08:30:00,16.987,16.892,17.296,17.415
