dates,tension,temperature_stream,dH
2015-07-23 15:30:00,1.13336,17.344,-0.00010293308071108396
2015-07-23 15:45:00,1.23682,17.319,-0.008279387057459234
2015-07-23 16:00:00,1.23663,17.32,-0.008261074828051022
2015-07-23 16:15:00,1.20249,17.315,-0.005608766389480108
2015-07-23 16:30:00,1.22831,17.357,-0.0074826505313002716
2015-07-23 16:45:00,1.23903,17.363,-0.008300172232803708
2015-07-23 17:00:00,1.22858,17.37,-0.007458846398368932
2015-07-23 17:15:00,1.23571,17.365,-0.008033653884511717
2015-07-23 17:30:00,1.22736,17.368,-0.0073703585363822785
2015-07-23 17:45:00,1.23949,17.369,-0.008315411177157563
2015-07-23 18:00:00,1.23293,17.359,-0.007837002074993413
2015-07-23 18:15:00,1.22953,17.356,-0.007581503817225429
2015-07-23 18:30:00,1.23083,17.361,-0.007665881871313739
2015-07-23 18:45:00,1.23129,17.361,-0.007701851663544608
2015-07-23 19:00:00,1.23331,17.358,-0.007870171392496956
2015-07-23 19:15:00,1.23453,17.348,-0.00800012095023764
2015-07-23 19:30:00,1.23075,17.342,-0.007725273940217457
2015-07-23 19:45:00,1.22637,17.338,-0.007396599527270428
2015-07-23 20:00:00,1.23373,17.322,-0.008027398463969828
2015-07-23 20:15:00,1.24201,17.308,-0.008723226702505313
2015-07-23 20:30:00,1.22953,17.29,-0.007809543143872543
2015-07-23 20:45:00,1.22202,17.272,-0.0072844897317342686
2015-07-23 21:00:00,1.23224,17.255,-0.008142382083181934
2015-07-23 21:15:00,1.23442,17.237,-0.008375040163907123
2015-07-23 21:30:00,1.23381,17.22,-0.008386078493919157
2015-07-23 21:45:00,1.23465,17.2,-0.008520865288597454
2015-07-23 22:00:00,1.23457,17.182,-0.008576802216188324
2015-07-23 22:15:00,1.23465,17.162,-0.008652160658485182
2015-07-23 22:30:00,1.23453,17.143,-0.008708424919368803
2015-07-23 22:45:00,1.23327,17.124,-0.008675546651680284
2015-07-23 23:00:00,1.23171,17.108,-0.008608844399902664
2015-07-23 23:15:00,1.2332,17.089,-0.008791002933594373
2015-07-23 23:30:00,1.23201,17.073,-0.008753232906002458
2015-07-23 23:45:00,1.22614,17.056,-0.008352964481374452
2015-07-24 00:00:00,1.22309,17.04,-0.00816975138084901
2015-07-24 00:15:00,1.23178,17.022,-0.008911460216841612
2015-07-24 00:30:00,1.23522,17.006,-0.009235733967573519
2015-07-24 00:45:00,1.22892,16.99,-0.008798386465416873
2015-07-24 01:00:00,1.20317,16.971,-0.006850507737436643
2015-07-24 01:15:00,1.23453,16.952,-0.00936835691012028
2015-07-24 01:30:00,1.23445,16.931,-0.00943465926164967
2015-07-24 01:45:00,1.22908,16.909,-0.009090764143836805
